N,selection,merge,key_selection,key_merge
100,1800,479,84,31
200,3822,401,189,67
300,2758,1569,846,102
400,7009,1916,920,133
500,8481,2820,1395,175
600,10269,1928,2072,214
700,11297,3162,3524,265
800,13791,2038,4583,358
900,15396,2365,5608,237
1000,14242,5560,5273,379
1100,16930,3199,4442,587
1200,21750,5216,5936,486
1300,20576,5029,6992,645
1400,22221,5574,10749,392
1500,22694,5946,10927,617
1600,31442,6474,12145,677
1700,26806,7070,13073,905
1800,27186,7949,14929,507
1900,34171,6021,16445,573
